UF;Municipio;Automóvel;Caminhão;Caminhonete;Motocicleta;Ônibus;Utilitário;Outros;Total
AC;ACRELANDIA;1313;335;640;3158;42;10;568;6066
AC;ASSIS BRASIL;314;24;139;1106;3;2;157;1745
AC;BRASILEIA;2260;274;1133;4380;19;32;1489;9587
AC;BUJARI;607;122;264;923;12;3;159;2090
AC;CAPIXABA;599;86;221;1032;16;1;185;2140
AC;CRUZEIRO DO SUL;6729;733;2788;15401;80;107;7242;33080
AC;EPITACIOLANDIA;1719;253;815;2407;16;16;1150;6376
AC;FEIJO;558;116;338;2039;12;12;704;3779
AC;JORDAO;12;5;13;64;0;0;29;123
AC;MANCIO LIMA;604;95;309;2077;16;7;557;3665
AC;MANOEL URBANO;222;50;145;560;6;2;141;1126
AC;MARECHAL THAUMATURGO;8;13;34;258;9;0;34;356
AC;PLACIDO DE CASTRO;1288;155;512;2202;27;5;530;4719
AC;PORTO ACRE;788;172;403;2026;47;3;239;3678
AC;PORTO WALTER;4;9;28;214;5;1;47;308
AC;RIO BRANCO;69430;4262;17713;72342;832;1127;21946;187652
AC;RODRIGUES ALVES;177;17;106;951;9;2;272;1534
AC;SANTA ROSA DO PURUS;16;5;24;118;3;0;19;185
AC;SENA MADUREIRA;1467;115;874;4352;10;14;1667;8499
AC;SENADOR GUIOMARD;2100;351;753;2808;35;15;771;6833
AC;TARAUACA;586;156;387;2389;23;17;1342;4900
AC;XAPURI;814;76;392;2533;6;10;387;4218
AL;AGUA BRANCA;1050;120;548;2317;31;4;320;4390
AL;ANADIA;1070;46;155;1157;48;9;377;2862
AL;ARAPIRACA;34473;3020;7113;44111;503;594;21928;111742
AL;ATALAIA;3672;209;276;1593;162;15;879;6806
AL;BARRA DE SANTO ANTONIO;928;31;110;774;26;8;313;2190
AL;BARRA DE SAO MIGUEL;838;26;124;574;13;15;333;1923
AL;BATALHA;1181;138;234;1822;21;12;426;3834
AL;BELEM;337;9;72;652;8;0;105;1183
AL;BELO MONTE;188;36;61;444;7;1;46;783
AL;BOCA DA MATA;1947;207;272;2220;102;7;924;5679
AL;BRANQUINHA;432;32;83;787;21;1;105;1461
AL;CACIMBINHAS;598;83;132;1119;13;7;179;2131
AL;CAJUEIRO;1079;90;123;1307;51;6;344;3000
AL;CAMPESTRE;279;38;50;149;8;2;127;653
AL;CAMPO ALEGRE;1954;134;288;1664;158;7;902;5107
AL;CAMPO GRANDE;551;47;132;1584;23;4;141;2482
AL;CANAPI;699;70;230;1436;27;1;222;2685
AL;CAPELA;824;69;102;805;66;5;223;2094
AL;CARNEIROS;331;32;90;675;10;3;86;1227
AL;CHA PRETA;314;30;106;760;6;3;58;1277
AL;COITE DO NOIA;635;84;144;1664;25;0;209;2761
AL;COLONIA LEOPOLDINA;737;103;141;551;35;2;162;1731
AL;COQUEIRO SECO;472;10;51;446;9;1;80;1069
AL;CORURIPE;4109;376;991;5333;235;48;2431;13523
AL;CRAIBAS;1677;233;409;2741;37;8;691;5796
AL;DELMIRO GOUVEIA;7646;789;1730;7910;119;61;2736;20991
AL;DOIS RIACHOS;651;85;161;1594;13;3;216;2723
AL;ESTRELA DE ALAGOAS;1006;59;248;1827;26;7;285;3458
AL;FEIRA GRANDE;998;111;394;2682;50;4;625;4864
AL;FELIZ DESERTO;228;14;49;262;9;1;71;634
AL;FLEXEIRAS;649;35;93;532;49;3;123;1484
AL;GIRAU DO PONCIANO;2462;220;524;4584;94;12;845;8741
AL;IBATEGUARA;707;49;172;1029;21;9;229;2216
AL;IGACI;1654;143;384;2721;41;5;601;5549
AL;IGREJA NOVA;926;79;156;2847;110;4;422;4544
AL;INHAPI;963;82;352;2456;10;3;369;4235
AL;JACARE DOS HOMENS;307;40;58;479;17;1;58;960
AL;JACUIPE;213;14;42;258;20;0;64;611
AL;JAPARATINGA;602;24;90;513;13;7;134;1383
AL;JARAMATAIA;320;29;74;359;7;2;65;856
AL;JEQUIA DA PRAIA;445;40;105;586;48;5;112;1341
AL;JOAQUIM GOMES;934;116;205;987;86;4;189;2521
AL;JUNDIA;242;16;42;255;13;0;52;620
AL;JUNQUEIRO;1520;187;390;2390;116;5;1080;5688
AL;LAGOA DA CANOA;1369;100;292;2595;42;11;550;4959
AL;LIMOEIRO DE ANADIA;1291;157;447;2433;68;5;797;5198
AL;MACEIO;197489;7648;23831;77166;2287;5155;38381;351957
AL;MAJOR ISIDORO;1006;109;212;1787;31;12;313;3470
AL;MAR VERMELHO;242;14;47;587;9;0;54;953
AL;MARAGOGI;1852;93;324;1153;49;30;687;4188
AL;MARAVILHA;612;68;141;1168;11;0;150;2150
AL;MARECHAL DEODORO;5731;300;725;2688;190;141;2004;11779
AL;MARIBONDO;1065;72;217;1096;19;5;327;2801
AL;MATA GRANDE;937;71;528;2377;20;6;257;4196
AL;MATRIZ DE CAMARAGIBE;1522;143;268;1392;139;12;454;3930
AL;MESSIAS;1000;70;131;888;93;5;270;2457
AL;MINADOR DO NEGRAO;382;58;98;721;9;2;53;1323
AL;MONTEIROPOLIS;295;24;100;637;6;0;60;1122
AL;MURICI;1322;144;219;1982;103;9;566;4345
AL;NOVO LINO;827;85;90;455;67;2;190;1716
AL;OLHO D'AGUA DAS FLORES;1688;145;437;2581;35;12;570;5468
AL;OLHO D'AGUA DO CASADO;527;36;117;830;12;0;90;1612
AL;OLHO D'AGUA GRANDE;249;16;47;622;14;0;69;1017
AL;OLIVENCA;702;64;142;1442;14;10;145;2519
AL;OURO BRANCO;813;107;178;1375;33;3;226;2735
AL;PALESTINA;192;11;46;224;4;0;53;530
AL;PALMEIRA DOS INDIOS;8655;658;1689;10958;92;82;3144;25278
AL;PAO DE ACUCAR;937;72;200;1519;17;7;395;3147
AL;PARICONHA;476;54;223;1310;13;3;130;2209
AL;PARIPUEIRA;936;64;158;587;18;24;343;2130
AL;PASSO DE CAMARAGIBE;731;39;89;613;31;6;251;1760
AL;PAULO JACINTO;336;15;106;797;9;2;71;1336
AL;PENEDO;6082;293;1044;7127;299;65;2851;17761
AL;PIACABUCU;751;35;238;777;20;7;375;2203
AL;PILAR;3383;157;384;1958;91;26;1236;7235
AL;PINDOBA;94;9;34;254;4;0;18;413
AL;PIRANHAS;1608;90;367;2867;20;13;441;5406
AL;POCO DAS TRINCHEIRAS;656;78;165;1536;25;5;196;2661
AL;PORTO CALVO;1792;209;250;2142;77;13;667;5150
AL;PORTO DE PEDRAS;503;23;73;536;10;2;163;1310
AL;PORTO REAL DO COLEGIO;710;37;115;1144;28;3;206;2243
AL;QUEBRANGULO;538;36;157;1238;17;2;126;2114
AL;RIO LARGO;8308;466;892;4652;220;58;2099;16695
AL;ROTEIRO;408;15;58;337;11;4;136;969
AL;SANTA LUZIA DO NORTE;596;23;66;357;47;2;115;1206
AL;SANTANA DO IPANEMA;4434;472;1015;8676;61;47;1676;16381
AL;SANTANA DO MUNDAU;505;74;151;1611;16;4;241;2602
AL;SAO BRAS;171;8;42;268;8;1;39;537
AL;SAO JOSE DA LAJE;1393;139;205;1671;74;26;495;4003
AL;SAO JOSE DA TAPERA;1824;151;367;2526;46;8;517;5439
AL;SAO LUIS DO QUITUNDE;1907;242;268;1713;241;9;573;4953
AL;SAO MIGUEL DOS CAMPOS;5650;407;705;5656;221;55;2740;15434
AL;SAO MIGUEL DOS MILAGRES;633;29;127;564;7;8;248;1616
AL;SAO SEBASTIAO;2008;177;454;3891;202;9;1325;8066
AL;SATUBA;2002;80;178;1006;26;8;392;3692
AL;SENADOR RUI PALMEIRA;527;45;173;1199;15;0;136;2095
AL;TANQUE D'ARCA;371;17;63;719;9;0;112;1291
AL;TAQUARANA;1119;122;300;2640;47;6;441;4675
AL;TEOTONIO VILELA;2545;193;398;3556;228;24;1577;8521
AL;TRAIPU;763;104;174;2218;28;3;185;3475
AL;UNIAO DOS PALMARES;5026;539;1011;8860;254;36;1932;17658
AL;VICOSA;1830;139;353;3172;54;21;434;6003
AM;ALVARAES;17;11;31;453;3;0;191;706
AM;AMATURA;5;6;13;185;1;0;102;312
AM;ANAMA;9;1;8;126;6;0;36;186
AM;ANORI;20;15;40;306;3;0;115;499
AM;APUI;369;187;548;2057;37;12;646;3856
AM;ATALAIA DO NORTE;18;3;32;270;1;0;168;492
AM;AUTAZES;239;48;135;1142;24;3;470;2061
AM;BARCELOS;114;14;74;608;0;1;287;1098
AM;BARREIRINHA;8;9;25;401;6;1;179;629
AM;BENJAMIN CONSTANT;63;21;45;880;5;2;663;1679
AM;BERURI;26;9;39;264;0;0;83;421
AM;BOA VISTA DO RAMOS;8;3;15;330;1;0;80;437
AM;BOCA DO ACRE;539;71;184;1891;8;1;633;3327
AM;BORBA;63;23;53;537;6;1;221;904
AM;CAAPIRANGA;22;12;37;134;8;0;70;283
AM;CANUTAMA;19;6;22;139;1;0;57;244
AM;CARAUARI;83;50;106;1766;1;1;706;2713
AM;CAREIRO;462;99;276;1103;91;4;396;2431
AM;CAREIRO DA VARZEA;128;31;52;119;47;0;109;486
AM;COARI;564;137;411;6584;17;12;2799;10524
AM;CODAJAS;30;9;46;439;4;2;115;645
AM;EIRUNEPE;95;41;96;1135;8;0;545;1920
AM;ENVIRA;12;17;36;308;5;0;85;463
AM;FONTE BOA;23;21;57;1181;0;0;281;1563
AM;GUAJARA;78;10;65;114;10;3;34;314
AM;HUMAITA;1231;323;635;3687;44;23;2360;8303
AM;IPIXUNA;7;4;11;8;3;0;2;35
AM;IRANDUBA;1828;351;778;2938;147;13;1010;7065
AM;ITACOATIARA;3258;393;1009;11094;172;13;8417;24356
AM;ITAMARATI;5;12;15;219;0;0;43;294
AM;ITAPIRANGA;170;28;113;376;8;1;140;836
AM;JAPURA;7;6;17;245;4;0;60;339
AM;JURUA;6;10;23;340;4;0;115;498
AM;JUTAI;9;6;39;479;0;0;96;629
AM;LABREA;155;50;175;1334;9;8;569;2300
AM;MANACAPURU;2881;385;1205;8614;125;25;4089;17324
AM;MANAQUIRI;115;14;75;410;9;0;100;723
AM;MANAUS;390495;16721;80352;182443;8108;5407;69618;753144
AM;MANICORE;134;50;137;1126;19;7;764;2237
AM;MARAA;8;6;18;370;0;0;149;551
AM;MAUES;418;59;216;2759;26;5;1668;5151
AM;NHAMUNDA;7;9;11;326;8;0;202;563
AM;NOVA OLINDA DO NORTE;63;26;76;630;9;0;374;1178
AM;NOVO AIRAO;315;32;128;689;12;3;205;1384
AM;NOVO ARIPUANA;27;26;47;579;8;1;190;878
AM;PARINTINS;1598;169;515;9519;29;16;7005;18851
AM;PAUINI;19;4;14;142;1;0;44;224
AM;PRESIDENTE FIGUEIREDO;1916;344;941;2620;85;20;1138;7064
AM;RIO PRETO DA EVA;918;188;614;2207;78;11;550;4566
AM;SANTA ISABEL DO RIO NEGRO;14;11;34;218;3;1;127;408
AM;SANTO ANTONIO DO ICA;9;14;36;623;1;0;193;876
AM;SAO GABRIEL DA CACHOEIRA;1411;110;467;1170;38;6;740;3942
AM;SAO PAULO DE OLIVENCA;12;10;26;890;6;0;254;1198
AM;SAO SEBASTIAO DO UATUMA;16;6;13;206;1;0;50;292
AM;SILVES;46;12;33;219;4;0;73;387
AM;TABATINGA;967;85;257;4746;7;11;3445;9518
AM;TAPAUA;28;6;38;333;2;0;162;569
AM;TEFE;971;79;388;7001;22;9;3635;12105
AM;TONANTINS;4;6;12;354;1;0;123;500
AM;UARINI;4;11;20;437;2;0;83;557
AM;URUCARA;31;23;51;459;2;0;216;782
AM;URUCURITUBA;23;9;28;394;2;0;147;603
AP;AMAPA;237;11;44;287;2;1;75;657
AP;CALCOENE;190;16;51;447;4;0;65;773
AP;CUTIAS;52;4;13;82;0;0;19;170
AP;FERREIRA GOMES;243;12;54;193;5;2;66;575
AP;ITAUBAL;38;9;11;89;5;0;9;161
AP;LARANJAL DO JARI;1435;106;347;2639;23;27;827;5404
AP;MACAPA;69501;3128;18970;50091;894;944;16908;160436
AP;MAZAGAO;437;43;74;383;22;1;122;1082
AP;OIAPOQUE;1049;75;260;1599;22;23;501;3529
AP;PEDRA BRANCA DO AMAPARI;258;32;63;236;27;1;106;723
AP;PORTO GRANDE;789;71;158;999;24;5;286;2332
AP;PRACUUBA;48;6;13;55;2;0;8;132
AP;SANTANA;10751;660;2669;9765;199;59;3907;28010
AP;SERRA DO NAVIO;245;16;41;134;5;1;62;504
AP;TARTARUGALZINHO;143;24;44;288;7;0;74;580
AP;VITORIA DO JARI;113;14;35;175;4;1;49;391
BA;ABAIRA;938;64;280;685;18;10;126;2121
